"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","0-PlayerLNameComparatorJaccard-record1Value","0-PlayerLNameComparatorJaccard-record2Value","0-PlayerLNameComparatorJaccard-record1PreprocessedValue","0-PlayerLNameComparatorJaccard-record2PreprocessedValue","0-PlayerLNameComparatorJaccard-similarity","0-PlayerLNameComparatorJaccard-postproccesedSimilarity","1-PlayerFNameComparatorJaccard-record1Value","1-PlayerFNameComparatorJaccard-record2Value","1-PlayerFNameComparatorJaccard-record1PreprocessedValue","1-PlayerFNameComparatorJaccard-record2PreprocessedValue","1-PlayerFNameComparatorJaccard-similarity","1-PlayerFNameComparatorJaccard-postproccesedSimilarity"
"LinearCombinationMatchingRule","newplayerTeamData_1392","newplayerTeamData_1414","0.0",,"achraf","ikechukwu","achraf","ikechukwu","0.0","0.0","hakimi","ezenwa","hakimi","ezenwa","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1392","newplayerTeamData_1415","0.0",,"achraf","bryan","achraf","bryan","0.0","0.0","hakimi","idowu","hakimi","idowu","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1392","newplayerTeamData_1416","0.0",,"achraf","elderson","achraf","elderson","0.0","0.0","hakimi","echiejile","hakimi","echiejile","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1404","newplayerTeamData_1418","0.0",,"mbark","william","mbark","william","0.0","0.0","boussoufa","ekong","boussoufa","ekong","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1404","newplayerTeamData_1419","0.0",,"mbark","leon","mbark","leon","0.0","0.0","boussoufa","balogun","boussoufa","balogun","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1392","newplayerTeamData_1417","0.0",,"achraf","onyinye","achraf","onyinye","0.0","0.0","hakimi","ndidi","hakimi","ndidi","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1398","newplayerTeamData_1387","0.0",,"ahmadi karim","javier","ahmadi karim","javier","0.0","0.0","el","aquino","el","aquino","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1398","newplayerTeamData_1386","0.0",,"ahmadi karim","oribe","ahmadi karim","oribe","0.0","0.0","el","peralta","el","peralta","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1398","newplayerTeamData_1389","0.0",,"ahmadi karim","hirving","ahmadi karim","hirving","0.0","0.0","el","lozano","el","lozano","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1398","newplayerTeamData_1388","0.0",,"ahmadi karim","edson","ahmadi karim","edson","0.0","0.0","el","alvarez","el","alvarez","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1398","newplayerTeamData_1385","0.0",,"ahmadi karim","andres","ahmadi karim","andres","0.0","0.0","el","guardado","el","guardado","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1398","newplayerTeamData_1384","0.0",,"ahmadi karim","jesus","ahmadi karim","jesus","0.0","0.0","el","corona","el","corona","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1414","newplayerTeamData_1398","0.0",,"ikechukwu","ahmadi karim","ikechukwu","ahmadi karim","0.0","0.0","ezenwa","el","ezenwa","el","0.0","0.0"
